GEOID,n_listings,n_unique_hosts,n_entire_home,availability_365,number_of_reviews,share_entire_home
36005000200,5,5,2,360.0,2.8,0.4
36005000400,18,11,5,264.1666666666667,44.94444444444444,0.2777777777777778
36005001600,1,1,0,251.0,50.0,0.0
36005001902,4,4,1,135.25,24.5,0.25
36005002001,1,1,0,248.0,51.0,0.0
36005002002,3,3,2,364.0,23.333333333333332,0.6666666666666666
36005002300,3,3,0,211.0,11.0,0.0
36005002400,1,1,0,0.0,0.0,0.0
36005002500,8,8,4,217.75,29.5,0.5
36005002702,3,3,1,216.33333333333334,85.66666666666667,0.3333333333333333
36005002800,4,4,2,265.5,26.25,0.5
36005003300,4,2,2,249.75,0.0,0.5
36005003500,2,2,1,180.5,80.5,0.5
36005003700,2,2,2,147.5,44.5,1.0
36005003800,1,1,1,319.0,73.0,1.0
36005003900,12,9,1,92.66666666666667,20.5,0.08333333333333333
36005004001,2,1,2,364.5,4.5,1.0
36005004100,5,5,4,129.2,52.0,0.8
36005004200,3,2,0,276.0,40.666666666666664,0.0
36005004300,15,8,2,159.46666666666667,10.333333333333334,0.13333333333333333
36005004400,2,2,0,343.0,9.0,0.0
36005004600,1,1,0,179.0,0.0,0.0
36005004800,2,2,0,365.0,2.0,0.0
36005005200,1,1,1,0.0,0.0,1.0
36005005300,1,1,0,0.0,0.0,0.0
36005005902,1,1,0,179.0,0.0,0.0
36005006100,3,2,1,173.0,38.0,0.3333333333333333
36005006302,3,3,1,133.33333333333334,78.66666666666667,0.3333333333333333
36005006400,1,1,0,364.0,6.0,0.0
36005006900,5,3,2,203.8,34.8,0.4
36005007100,5,3,1,250.8,21.0,0.2
36005007300,3,3,0,227.0,34.333333333333336,0.0
36005007400,1,1,0,353.0,61.0,0.0
36005007500,6,5,0,234.66666666666666,36.5,0.0
36005007700,2,2,0,76.0,18.0,0.0
36005007800,2,2,0,332.5,76.0,0.0
36005007900,4,3,0,238.5,87.25,0.0
36005008300,6,6,3,144.16666666666666,13.5,0.5
36005008400,4,3,2,330.5,30.0,0.5
36005008500,4,3,1,154.0,1.75,0.25
36005008700,2,2,1,226.0,10.0,0.5
36005009200,3,3,2,359.0,54.666666666666664,0.6666666666666666
36005009301,17,8,2,216.0,17.823529411764707,0.11764705882352941
36005009302,1,1,0,0.0,0.0,0.0
36005009800,5,4,3,339.6,14.8,0.6
36005011701,2,2,0,122.5,43.0,0.0
36005012701,1,1,0,0.0,0.0,0.0
36005012901,2,2,0,364.0,5.5,0.0
36005013000,1,1,0,364.0,249.0,0.0
36005013200,10,8,6,270.0,15.3,0.6
36005013300,6,5,3,75.5,54.5,0.5
36005013500,5,4,0,97.4,47.6,0.0
36005014100,7,6,2,167.71428571428572,80.0,0.2857142857142857
36005014400,1,1,0,89.0,4.0,0.0
36005014500,3,3,1,232.33333333333334,11.0,0.3333333333333333
36005015200,1,1,1,87.0,0.0,1.0
36005015300,2,2,1,124.5,29.0,0.5
36005015700,2,2,1,182.0,32.5,0.5
36005016000,8,7,6,280.75,6.875,0.75
36005016100,3,2,1,211.66666666666666,11.333333333333334,0.3333333333333333
36005016500,1,1,0,270.0,0.0,0.0
36005016600,5,3,2,233.4,7.4,0.4
36005016700,1,1,1,174.0,11.0,1.0
36005016900,2,2,1,269.5,39.5,0.5
36005017100,1,1,0,365.0,9.0,0.0
36005017300,6,5,3,191.0,46.833333333333336,0.5
36005017701,2,2,0,88.5,46.0,0.0
36005017901,5,4,1,353.4,43.4,0.2
36005017902,1,1,1,279.0,0.0,1.0
36005018101,4,3,0,168.5,19.5,0.0
36005018102,2,2,0,364.5,35.0,0.0
36005018302,3,2,2,226.33333333333334,25.333333333333332,0.6666666666666666
36005018501,1,1,1,0.0,10.0,1.0
36005018502,4,4,2,91.0,2.0,0.5
36005018900,6,6,2,122.33333333333333,18.833333333333332,0.3333333333333333
36005019300,2,2,1,201.5,9.5,0.5
36005019400,4,3,3,67.25,16.5,0.75
36005019700,8,8,3,245.75,17.25,0.375
36005019900,4,4,1,203.25,15.0,0.25
36005020200,3,2,2,273.0,2.6666666666666665,0.6666666666666666
36005020502,2,1,0,282.0,19.0,0.0
36005020900,1,1,0,365.0,66.0,0.0
36005021001,4,4,4,207.5,13.25,1.0
36005021002,2,2,0,182.5,5.5,0.0
36005021200,3,3,0,332.3333333333333,16.666666666666668,0.0
36005021301,1,1,0,267.0,0.0,0.0
36005021302,1,1,0,365.0,7.0,0.0
36005021502,1,1,0,89.0,5.0,0.0
36005021700,3,3,2,189.66666666666666,2.0,0.6666666666666666
36005021800,11,8,6,204.36363636363637,6.7272727272727275,0.5454545454545454
36005022000,1,1,0,328.0,18.0,0.0
36005022102,2,2,1,303.5,28.5,0.5
36005022401,1,1,0,365.0,4.0,0.0
36005022403,8,8,2,185.5,29.75,0.25
36005022404,3,3,1,239.66666666666666,51.333333333333336,0.3333333333333333
36005022500,6,6,3,236.5,49.666666666666664,0.5
36005022701,6,4,1,191.66666666666666,36.166666666666664,0.16666666666666666
36005022702,1,1,0,363.0,169.0,0.0
36005022703,3,3,0,179.33333333333334,3.0,0.0
36005022800,8,7,3,191.5,13.625,0.375
36005022901,10,2,0,326.3,14.8,0.0
36005022902,4,1,0,285.0,11.5,0.0
36005023000,3,2,1,268.0,28.666666666666668,0.3333333333333333
36005023100,4,2,0,365.0,20.0,0.0
36005023200,3,3,3,317.3333333333333,49.666666666666664,1.0
36005023301,2,2,1,316.0,41.5,0.5
36005023302,4,3,1,203.0,79.0,0.25
36005023502,5,5,0,231.0,6.4,0.0
36005023600,3,2,2,339.0,65.66666666666667,0.6666666666666666
36005023703,2,2,0,269.0,3.5,0.0
36005023800,1,1,1,365.0,6.0,1.0
36005023900,6,6,1,222.83333333333334,21.666666666666668,0.16666666666666666
36005024000,1,1,1,365.0,0.0,1.0
36005024100,2,2,1,206.0,62.0,0.5
36005024300,3,3,1,132.66666666666666,17.333333333333332,0.3333333333333333
36005024400,1,1,0,121.0,12.0,0.0
