GEOID,County,Borough,population,median_income,pct_hispanic,pct_white,pct_black,pct_native,pct_asian,poverty_pct,child_poverty_pct,commute_drive_pct,commute_carpool_pct,commute_transit_pct,commute_walk_pct,commute_work_home_pct,mean_commute,n_listings,n_unique_hosts,n_entire_home,availability_365,number_of_reviews,share_entire_home,listings_per_1000_residents,median_income_z,pct_white_z,poverty_pct_z,gentrification_proxy,gentrifying,listings_per_1000_capped
36005000100,Bronx,Bronx,7703,,29.9,6.1,60.9,0.2,1.6,,,,,,,,,,,,,,,0.0,-0.15857623396122988,-0.8862875263933038,-0.216240615293175,-0.8286231450613586,0,0.0
36005000200,Bronx,Bronx,5403,72034.0,75.8,2.3,16.0,0.0,4.2,20.0,20.7,44.8,13.7,38.6,2.9,0.0,43.0,5.0,5.0,2.0,360.0,2.8,0.4,0.9254118082546734,0.4539581596120934,-1.0112286974373192,0.033131752564872156,-0.590402290390098,0,0.9254118082546734
36005000400,Bronx,Bronx,5915,74836.0,62.7,3.6,30.7,0.0,0.3,13.2,23.6,41.3,10.0,44.6,1.4,2.1,45.0,18.0,11.0,5.0,264.1666666666667,44.94444444444444,0.2777777777777778,3.043110735418428,0.551871410270571,-0.9684856652380507,-0.4807264599911038,0.06411220502362408,0,3.043110735418428
36005001600,Bronx,Bronx,5879,32312.0,65.1,1.6,32.4,0.0,0.0,26.3,35.9,37.2,5.3,45.5,8.6,1.7,38.8,1.0,1.0,0.0,251.0,50.0,0.0,0.17009695526450075,-0.9340897142837106,-1.0342441763138484,0.509206273021144,-2.477540163618703,0,0.17009695526450075
36005001900,Bronx,Bronx,2591,37936.0,55.4,9.0,29.0,0.0,2.1,37.1,31.5,19.2,5.3,63.9,3.0,6.2,45.4,,,,,,,0.0,-0.7375643318057387,-0.7909376853333973,1.3253340223747527,-2.8538360395138884,0,0.0
36005002000,Bronx,Bronx,8516,18086.0,61.1,1.6,31.1,0.3,3.3,53.2,67.7,19.6,7.0,68.2,4.3,0.0,46.0,,,,,,,0.0,-1.4312038841150814,-1.0342441763138484,2.541968907985225,-5.007416968414155,0,0.0
36005002300,Bronx,Bronx,4774,14479.0,62.3,0.2,36.5,1.0,0.0,54.2,68.3,5.9,0.0,74.5,14.0,4.1,42.7,3.0,3.0,0.0,211.0,11.0,0.0,0.6284038542103059,-1.5572471015044917,-1.0802751340669066,2.6175362921846332,-5.255058527756032,0,0.6284038542103059
36005002400,Bronx,Bronx,150,,0.0,52.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,6.666666666666667,-0.15857623396122988,0.6228703027962504,-1.478215931423292,1.9425100002583127,1,6.666666666666667
36005002500,Bronx,Bronx,5355,17226.0,76.5,1.5,18.9,0.0,3.0,50.5,62.4,12.6,2.8,62.5,17.7,2.7,35.5,8.0,8.0,4.0,217.75,29.5,0.5,1.4939309056956114,-1.461255774038811,-1.0375321018676382,2.337936970646823,-4.836724846553272,0,1.4939309056956114
36005002701,Bronx,Bronx,3016,20153.0,68.0,0.0,31.2,0.0,0.0,52.6,64.9,14.0,1.7,64.7,18.0,1.6,42.8,,,,,,,0.0,-1.3589745161239775,-1.0868509851744863,2.4966284774655803,-4.9424539787640445,0,0.0
36005002702,Bronx,Bronx,4778,17147.0,71.3,1.6,26.2,0.0,0.0,52.7,63.1,5.1,3.0,83.6,7.1,0.5,44.0,3.0,3.0,1.0,216.33333333333331,85.66666666666667,0.3333333333333333,0.6278777731268314,-1.464016354624828,-1.0342441763138484,2.504185215885521,-5.002445746824197,0,0.6278777731268314
36005002800,Bronx,Bronx,5299,49529.0,23.0,0.2,71.4,0.0,1.7,8.5,6.5,42.8,3.7,48.2,2.0,2.7,47.3,4.0,4.0,2.0,265.5,26.25,0.5,0.7548594074353652,-0.332457866822252,-1.0802751340669066,-0.8358931657283224,-0.5768398351608361,0,0.7548594074353652
36005003100,Bronx,Bronx,1466,37250.0,72.3,0.6,24.6,0.0,2.2,18.1,25.2,16.4,0.0,65.5,14.6,0.0,40.1,,,,,,,0.0,-0.7615359556286206,-1.067123431851747,-0.11044627741400335,-1.7182131100663645,0,0.0
36005003300,Bronx,Bronx,3912,19923.0,65.6,1.0,30.6,1.7,0.0,56.3,72.3,11.0,4.6,68.4,13.5,1.8,42.5,4.0,2.0,2.0,249.75,0.0,0.5,1.0224948875255624,-1.3670116494756726,-1.0539717296365876,2.77622779900339,-5.1972111781156505,0,1.0224948875255624
36005003500,Bronx,Bronx,3948,26541.0,73.5,0.7,25.9,0.0,0.0,36.3,47.9,19.6,2.6,64.7,7.4,4.7,41.6,2.0,2.0,1.0,180.5,80.5,0.5,0.5065856129685917,-1.1357518732951573,-1.0638355062979572,1.264880115015226,-3.4644674946083405,0,0.5065856129685917
36005003700,Bronx,Bronx,246,,57.7,24.4,17.9,0.0,0.0,43.5,0.0,8.3,0.0,79.2,12.5,0.0,33.0,2.0,2.0,2.0,147.5,44.5,1.0,8.130081300813009,-0.15857623396122988,-0.28459715004975605,1.8089652812509653,-2.2521386652619513,0,8.130081300813009
36005003800,Bronx,Bronx,1193,37685.0,53.1,1.8,42.7,0.0,0.8,31.3,45.0,41.6,1.7,47.3,6.9,1.1,41.3,1.0,1.0,1.0,319.0,73.0,1.0,0.8382229673093042,-0.7463352903765016,-1.0276683252062686,0.8870431940181851,-2.661046809600955,0,0.8382229673093042
36005003900,Bronx,Bronx,6614,25990.0,82.0,1.9,16.1,0.0,0.0,30.2,35.7,3.4,1.1,83.6,6.5,4.8,42.9,12.0,9.0,1.0,92.66666666666669,20.5,0.0833333333333333,1.8143332325370425,-1.1550060492811747,-1.0243803996524787,0.8039190713988359,-2.983305520332489,0,1.8143332325370425
